loan_default,loan_purpose,missed_payment_2_yr,loan_amount,interest_rate,installment,annual_income,debt_to_income
no,home_improvement,no,30000,7.97,643.63,200000,3.96
no,debt_consolidation,no,30000,7.47,1040.7,95504,26.1
yes,medical,no,30000,7,1100.14,85000,18.58
yes,credit_card,no,21250,8.5,773.05,85000,9.85
yes,debt_consolidation,no,20000,8.5,519.15,54000,25.09
no,small_business,no,15000,8.469999999999999,465.57,91000,24.99
no,debt_consolidation,no,4800,10.469999999999999,164.22,39600,4.55
yes,credit_card,no,8000,9.5,291.03,66000,9.55
no,debt_consolidation,no,22000,7.97,662.53,110000,22.52
no,home_improvement,no,20000,9.969999999999999,620.66,120000,7.52
yes,debt_consolidation,yes,30000,16.25,753.18,60000,22.94
yes,credit_card,no,35000,8,934.9,76500,27.48
yes,medical,no,35500,10.25,1165.84,31000,15.95
no,home_improvement,yes,12000,8.219999999999999,372.45,50000,15.19
no,home_improvement,no,21000,8.719999999999999,445.37,125000,14.23
yes,credit_card,no,24000,9.25,655.38,90000,18.65
no,debt_consolidation,no,12000,11.469999999999999,398.52,50000,18.63
yes,debt_consolidation,no,20000,16.25,498.02,47000,16.11
yes,debt_consolidation,no,15000,15,542.74,50000,29.44
no,home_improvement,no,20000,9.469999999999999,653.93,56000,35.75
no,debt_consolidation,no,40000,5.22,848.31,120000,9.45
no,debt_consolidation,no,5600,10.719999999999999,168.62,50000,19.61
yes,medical,yes,15000,17.5,389.36,56368,22.08
no,debt_consolidation,no,4800,14.5,156.95,54000,12.98
yes,debt_consolidation,no,24000,16.25,909.76,103000,27.48
yes,credit_card,no,40000,13.5,1566.59,170000,18.14
no,small_business,no,34200,10.469999999999999,741.89,107000,29.36
no,small_business,yes,40000,11.469999999999999,798.49,146000,9.83
yes,debt_consolidation,no,35000,13.25,1388.82,100000,31.48
no,small_business,no,10000,5.22,335.12,110000,18.61
no,debt_consolidation,no,10000,10.719999999999999,313.18,26000,37.26
no,credit_card,no,10000,11.219999999999999,346.85,27976,18.19
yes,debt_consolidation,no,20000,15.5,758.14,37440,23.46
no,credit_card,no,20000,8.469999999999999,684.24,90540,15.92
yes,credit_card,no,10000,11.25,368.69,55000,15.84
yes,medical,no,15000,10.25,568.6,55000,36.9
yes,credit_card,no,5175,13,188.26,65000,7.22
no,debt_consolidation,yes,36000,5.22,875.65,49000,10.85
no,debt_consolidation,no,14000,10.219999999999999,296.98,42000,17.29
yes,medical,no,25000,11.75,934.07,18400,43.57
no,debt_consolidation,no,7000,6.22,210.78,65000,4.87
yes,small_business,no,6000,17.75,214.19,69996,17.66
yes,small_business,yes,1000,18.75,36.38,43000,20.26
no,home_improvement,no,10000,11.219999999999999,351.62,95000,33.07
no,medical,no,24000,11.969999999999999,751.75,65000,14.38
yes,credit_card,no,16000,10.75,423.91,95000,21.05
no,credit_card,no,15500,5.97,332.55,42000,21.77
no,small_business,no,20000,6.72,399.34,120000,20.45
no,small_business,no,24000,7.47,737.88,90000,7.96
no,medical,no,4000,6.47,129.85,75000,29.65
no,debt_consolidation,no,10000,12.5,351.62,50000,8.25
no,debt_consolidation,yes,5000,8.719999999999999,173.45,28000,8.96
no,credit_card,no,7000,5.47,215.22,83000,10.57
yes,home_improvement,no,15000,13,409.61,49500,9.5
no,home_improvement,no,12000,6.22,270.71,46000,8.64
no,credit_card,no,37000,19,1239.92,80000,39.97
no,debt_consolidation,no,10000,9.219999999999999,307.45,63235,10.32
no,medical,no,34950,6.97,1064.52,231000,10.41
no,small_business,no,4925,5.72,167.33,20567,6.71
no,small_business,no,24000,5.72,533.75,220000,7.52
no,home_improvement,yes,13000,8.969999999999999,421.99,52500,33.12
no,home_improvement,no,13000,5.47,403.49,65000,9.38
no,medical,no,25000,7.97,530.2,104000,2.7
no,small_business,no,16000,8.719999999999999,491.99,105000,22.54
yes,home_improvement,no,15000,17.75,389.36,33000,21.93
no,debt_consolidation,no,10000,8.219999999999999,233.1,49500,15.3
yes,credit_card,no,10000,12,251.06,125000,2.76
yes,home_improvement,no,32000,15.25,1142.33,50000,52.78
yes,credit_card,no,35000,14.25,871.54,70000,17.83
no,credit_card,no,10400,7.22,319.8,52000,11.29
no,small_business,no,20000,7.22,602.21,102000,2.19
no,medical,no,6000,10.969999999999999,196.18,60000,10.48
yes,debt_consolidation,no,6800,11,246.05,40000,9.27
no,small_business,no,30000,5.47,676.78,95000,15.16
no,small_business,no,7000,6.97,239.52,126049,18.11
no,medical,no,10000,7.22,335.07,20000,17.17
no,small_business,no,8000,9.469999999999999,268.09,65000,23.69
yes,small_business,no,30000,12.5,778.72,86000,19.54
no,home_improvement,no,21125,7.22,717.71,220000,19.42
yes,debt_consolidation,no,20000,7.25,502.12,58000,22.26
yes,debt_consolidation,no,30000,12,778.72,80000,18.15
yes,medical,no,15000,15.75,595.21,31000,29.89
no,small_business,no,6025,14.5,195.58,70000,12.62
yes,credit_card,no,10200,10.5,259.35,19582.09,20.23
yes,medical,no,25000,7.25,921.72,75000,9.44
no,credit_card,no,16000,7.97,487.26,100000,19.85
no,credit_card,no,15000,8.219999999999999,486.98,40000,16.23
yes,credit_card,no,20325,11.5,735.41,62300,34.11
yes,medical,no,20600,9.75,676.52,95731,19.64
no,credit_card,no,3000,10.469999999999999,100.54,60000,17.64
yes,credit_card,no,30000,7.5,903.55,119000,30.51
yes,small_business,no,8500,9.75,313.39,45000,27.52
yes,medical,no,5550,14.5,210.39,110000,34.15
no,credit_card,no,5000,4.97,160.03,25920,41.94
yes,medical,no,15000,13.5,538.31,68000,24.48
yes,debt_consolidation,no,30000,13.75,794.82,32000,22.62
no,debt_consolidation,no,40000,10.469999999999999,952.44,115000,12.89
no,home_improvement,no,10000,9.219999999999999,351.67,80000,18.24
no,home_improvement,no,40000,11.219999999999999,889.38,72000,44.9
no,home_improvement,no,30000,11.719999999999999,996.29,180000,7.31
no,debt_consolidation,no,25000,7.97,563.85,72000,26.38
no,medical,no,18000,10.719999999999999,615.81,98000,1.95
no,debt_consolidation,no,6000,4.97,199.23,89000,11.24
no,home_improvement,no,20000,5.72,664.1,185000,12.56
no,medical,no,6000,10.969999999999999,192.01,76000,15.06
no,home_improvement,no,1500,6.47,48.7,33000,27.02
yes,credit_card,yes,24000,14.25,884.85,70000,25.9
no,credit_card,no,10000,9.719999999999999,320.05,55000,7.55
yes,credit_card,no,35000,18.5,878.71,289000,13.22
yes,debt_consolidation,no,7000,13.75,254.65,35000,31.68
no,home_improvement,no,36000,5.72,800.44,160000,18.25
yes,home_improvement,no,17000,19,644.42,50000,26.33
yes,credit_card,no,16000,13.75,406.82,69000,19.65
yes,credit_card,no,4500,19.75,160.64,30000,30.8
no,small_business,no,7000,10.219999999999999,210.81,116162,6.57
no,home_improvement,no,2000,7.47,64.01,52500,22.56
yes,small_business,no,30000,15.75,911.95,45000,30.93
yes,small_business,no,22000,10.5,547.83,35000,18.79
yes,credit_card,no,17000,11,618.44,32000,14.72
no,debt_consolidation,no,15000,10.469999999999999,294.97,92000,26.73
yes,small_business,yes,8000,12.5,309.31,80000,27.56
no,credit_card,no,13000,10.719999999999999,293.27,135000,4.18
yes,medical,no,30000,7.5,894.85,68000,19.94
yes,small_business,no,10000,15.5,366.72,30000,22.56
no,home_improvement,no,10000,5.72,335.12,57500,25.3
yes,small_business,no,25600,11.5,699.07,87000,29.49
no,small_business,no,6000,10.219999999999999,184.5,63000,11.06
yes,small_business,no,12000,18.5,307.67,50000,13.32
no,small_business,no,38400,7.22,1191.84,70000,9.12
no,debt_consolidation,no,10000,7.97,214.55,32500,25.07
no,debt_consolidation,no,17000,11.469999999999999,577.65,60000,3.3
yes,small_business,no,3000,13.5,107.67,48000,11.26
no,debt_consolidation,no,20000,6.72,644.6,87000,7.37
yes,medical,no,32000,19,873.83,41000,41.51
yes,medical,no,28000,13.5,741.83,66000,34.7
no,credit_card,no,21975,11.719999999999999,688.22,95000,16.27
no,small_business,no,30000,8.219999999999999,667.19,140000,11.85
no,debt_consolidation,no,6500,4.97,225.49,67200,12.63
yes,credit_card,no,10000,8,379.07,45000,10.59
no,small_business,no,6000,9.469999999999999,180.69,85000,16.21
no,small_business,no,6300,6.22,201.64,52000,17.75
yes,medical,no,15000,7.75,451.78,33000,15.67
no,small_business,yes,20000,7.47,693.7,32000,35.18
yes,credit_card,no,5200,18.25,189.17,51000,19.13
no,medical,no,8500,4.97,290.8,30000,21.91
no,small_business,no,8000,9.219999999999999,273.74,29500,27.99
no,medical,yes,12000,4.72,421.95,42655.99,11.62
yes,small_business,no,10000,15.75,261.73,33186,9.48
no,medical,no,20000,11.969999999999999,614.99,150000,22.38
yes,credit_card,no,22000,7,817.6,70000,14.2
yes,debt_consolidation,no,3200,10.75,116.42,26000,18.61
no,small_business,no,7800,6.47,239.81,66200,12.73
yes,debt_consolidation,no,23625,11.25,895.55,52000,9.55
no,small_business,no,12000,10.969999999999999,361.38,190000,8.24
no,credit_card,no,10000,11.719999999999999,304.54,109000,19.43
no,debt_consolidation,no,16000,6.97,389.18,55000,16.56
yes,debt_consolidation,no,20000,18.25,498.02,54000,16.87
no,debt_consolidation,no,4000,7.22,125.3,21800,8.76
yes,debt_consolidation,no,7000,17.5,274.19,28000,10.46
yes,credit_card,no,17000,11,423.32,64000,15.56
yes,small_business,no,4800,16.75,179.35,68000,11.44
no,home_improvement,no,22000,7.47,512.71,101500,25.96
no,home_improvement,no,29000,13,615.17,38000,15.07
no,debt_consolidation,no,12000,6.22,389.53,32760,17
yes,debt_consolidation,no,35000,7.25,897.37,90000,19.83
no,small_business,no,23100,6.72,739.32,140000,15.02
no,home_improvement,no,16000,4.97,536.11,39000,13.72
no,small_business,no,20000,9.469999999999999,614.99,78000,15.09
no,small_business,no,4000,4.97,121.82,49000,15.6
no,debt_consolidation,no,10000,19.5,335.12,98000,7.58
yes,credit_card,no,19000,7,507.52,49000,27.53
no,small_business,no,7500,15,225.87,80000,17.32
no,home_improvement,no,2000,9.719999999999999,68.43,100000,11.5
yes,credit_card,no,15000,13,542.74,60000,26.88
no,small_business,no,30000,7.22,691.54,70000,27.12
no,credit_card,no,2000,9.969999999999999,60.92,25000,15.51
no,credit_card,no,14000,16,464.94,150000,23.17
yes,credit_card,no,30000,18,1143.39,65000,26.43
no,small_business,no,14400,10.469999999999999,451.05,64000,23.65
no,credit_card,no,16000,6.22,389.18,31000,25.01
no,credit_card,no,12000,8.969999999999999,260.32,40000,16.26
no,debt_consolidation,no,24000,7.47,520.75,58000,29.07
no,credit_card,no,9000,6.97,307.91,55213,24.69
no,small_business,yes,11000,8.469999999999999,335,45000,16.81
no,debt_consolidation,no,24000,11.219999999999999,571.47,75000,13.52
yes,credit_card,no,7000,9.75,274.16,60000,23.02
no,small_business,yes,10000,11.969999999999999,320.05,21000,2.97
yes,debt_consolidation,no,35000,11.75,927.29,96000,9.41
no,home_improvement,no,20000,16,433.86,75000,23.52
no,credit_card,no,20000,4.72,649.21,128000,16.3
yes,debt_consolidation,no,15200,7.5,603.15,36400,42.93
no,small_business,no,6000,7.72,182.75,58000,1.76
no,debt_consolidation,no,12000,10.969999999999999,386.76,139000,13.5
no,medical,yes,10000,9.469999999999999,339.79,35000,36.52
no,debt_consolidation,no,30750,8.969999999999999,984.16,31972,12.34
no,debt_consolidation,no,20000,10.469999999999999,640.1,30000,10.52
no,small_business,no,7000,4.97,237.86,18720,32.36
no,medical,no,20000,8.969999999999999,620.66,105000,7.78
no,debt_consolidation,no,15000,13.5,498.08,56000,36.69
no,debt_consolidation,yes,16800,5.47,387.35,120000,13.66
no,small_business,no,25000,8.469999999999999,849.35,60000,12.24
no,debt_consolidation,no,14400,17,464.11,65000,30.72
no,debt_consolidation,no,12800,11.469999999999999,385.47,30600,40.75
no,debt_consolidation,no,17000,20,511.88,75000,16.13
yes,medical,no,20000,8.75,519.15,63695,20.5
no,debt_consolidation,no,25000,5.97,800.13,92000,18.22
yes,credit_card,no,18000,14.75,448.22,58000,12.39
no,small_business,no,18000,7.97,419.58,100000,8.96
no,home_improvement,no,30000,8.219999999999999,629.04,163000,4.98
no,debt_consolidation,yes,15400,11.719999999999999,347.41,80000,13.86
yes,credit_card,no,35000,10.75,1266.39,70000,5.55
yes,credit_card,no,20000,12.25,762.26,62400,39.27
no,home_improvement,no,12000,10.719999999999999,369,66000,20.95
yes,credit_card,no,30000,16,895.02,144000,39.88
yes,medical,no,25000,16.75,821.01,80000,24.17
no,debt_consolidation,no,8500,11.219999999999999,298.92,90000,32.37
no,debt_consolidation,no,5000,11.969999999999999,155.19,30000,18.84
no,home_improvement,no,10000,5.47,301.11,73000,24.33
yes,home_improvement,no,25000,7.25,622.53,20000,0
no,credit_card,no,14000,12.5,322.79,32000,24.53
no,debt_consolidation,yes,11000,11.969999999999999,354.53,33000,33.71
no,home_improvement,no,19000,15,608.01,45000,20.89
no,debt_consolidation,no,6000,4.97,182.75,78000,4.48
yes,small_business,no,16000,17.75,418.76,139000,28.04
yes,credit_card,no,9000,7.75,343.02,48000,24.53
no,debt_consolidation,no,8500,9.969999999999999,288.83,65000,30.71
yes,home_improvement,no,39725,8.75,1018.51,43000,3.8
yes,credit_card,yes,2500,16.25,90.46,47000,18.23
yes,home_improvement,no,30000,14.25,1114.91,118500,26.01
yes,credit_card,no,8000,19.75,297.31,90000,17.64
yes,medical,no,23000,14,584.8,100000,24.37
no,credit_card,no,12000,8.469999999999999,375.82,52000,11.05
yes,home_improvement,yes,35000,9.75,871.54,110000,18.87
no,debt_consolidation,no,24725,11.719999999999999,518.43,136000,22.82
no,debt_consolidation,yes,16000,9.719999999999999,523.07,45000,10.77
yes,small_business,no,6000,17.25,220.03,110000,15.91
yes,medical,no,35000,7.25,889.92,106080,22.79
yes,credit_card,no,8000,7.75,293.37,63000,27.05
no,home_improvement,no,35000,7.22,750.91,200000,5.39
no,debt_consolidation,no,12500,12,387.97,55000,15.46
no,small_business,no,8000,7.22,281.34,33000,10.33
no,small_business,no,40000,10.719999999999999,1204.42,100000,8.68
yes,credit_card,no,30000,7.75,769.17,67000,33.7
no,small_business,no,16000,8.219999999999999,368.9,230000,14.59
no,credit_card,no,15000,6.72,465.57,70000,20.33
no,credit_card,no,20000,11.719999999999999,433.96,42000,3.57
no,credit_card,no,14000,8.969999999999999,279.54,125000,10.36
yes,small_business,no,2100,15,77.01,110000,7.72
no,small_business,no,2100,10.219999999999999,67.22,26694,8.18
no,debt_consolidation,no,1800,6.72,58.85,30000,19.83
no,medical,yes,12000,10.469999999999999,361.33,120000,18.72
no,small_business,no,21000,17,645.64,55000,15.36
no,small_business,no,8500,5.72,294.87,120000,25.29
no,small_business,no,35000,5.22,1172.9,49000,13.69
yes,small_business,yes,10000,9.25,275.34,40000,3.27
yes,small_business,no,1200,19.25,47.62,105000,12.54
no,small_business,yes,6000,19.5,199.26,40000,3.18
no,debt_consolidation,no,11000,4.72,335.05,60000,31.72
no,small_business,no,22000,10.469999999999999,662.53,69467,17.71
no,small_business,no,32000,11.969999999999999,1031.5,70000,17.81
yes,small_business,no,19000,8,724.15,43000,25.9
no,debt_consolidation,yes,16000,6.47,372.88,64000,22.95
yes,credit_card,no,12000,9.75,311.49,46500,41.73
no,medical,no,10000,6.47,335.12,75000,1.36
no,debt_consolidation,no,30000,11.219999999999999,1005.34,80000,5.52
yes,medical,yes,1600,19.25,58.68,38600,11.88
yes,home_improvement,no,10000,12.25,259.58,38000,46.08
no,home_improvement,no,8000,12.5,271.84,79547,22.18
yes,credit_card,no,15000,20,422.09,83004,18.29
no,small_business,no,25000,10.969999999999999,761.35,80000,18.3
no,small_business,yes,24000,6.97,768.12,90000,5.81
yes,medical,no,14500,12.25,440.78,60600,49.68
yes,credit_card,yes,17600,12.5,514.94,35000,40.12
yes,credit_card,no,20000,11.5,529.88,35000,24.7
yes,small_business,no,35000,18.75,955.75,150000,17.37
no,debt_consolidation,no,28000,10.969999999999999,951.41,104000,33.84
no,debt_consolidation,no,20000,18.5,466.2,63500,0.95
no,credit_card,no,19000,6.47,584.24,120000,7.74
no,credit_card,no,5000,7.22,152.27,95000,19.74
no,medical,no,38000,5.22,758.56,88300,7.37
yes,credit_card,no,28200,13.75,849.34,200000,22.26
no,small_business,no,15000,11.969999999999999,486.98,77000,20.14
yes,medical,no,30000,11.25,1100.14,59000,14.24
yes,home_improvement,no,16500,12.75,608.34,30000,32
yes,home_improvement,yes,24000,11.25,615.34,61000,1.08
yes,debt_consolidation,no,25000,11,947.67,45000,16.97
no,home_improvement,no,25000,7.47,775.82,72000,24.67
no,credit_card,no,25000,10.469999999999999,800.13,120000,9.94
no,small_business,no,30000,11.719999999999999,973.81,125000,17.2
no,debt_consolidation,no,10000,6.97,310.38,77000,19.95
yes,credit_card,no,15000,8.75,397.41,40825,6.7
no,debt_consolidation,no,4000,19,135.92,72000,5.03
no,credit_card,yes,22000,11.719999999999999,496.19,81526,9.23
yes,debt_consolidation,no,5000,8.75,180.92,28000,60.65
yes,medical,no,30000,9,1070.93,84000,28.97
no,medical,no,15000,10.469999999999999,325.39,85000,11.89
no,debt_consolidation,no,40000,5.47,858.18,99000,56.82
no,debt_consolidation,no,20000,6.22,679.58,73000,39.08
no,medical,no,2500,6.22,76.88,70000,4.73
no,credit_card,no,18000,10.469999999999999,588.54,40000,16.35
no,home_improvement,no,8000,8.969999999999999,256.04,36000,31.67
yes,home_improvement,yes,10000,10.25,267.12,90000,17.41
no,home_improvement,no,25000,7.47,837.67,103000,18.16
yes,home_improvement,no,22000,13,559.38,50000,29.4
no,home_improvement,yes,6500,9.969999999999999,212.53,80000,18.09
no,debt_consolidation,yes,40000,9.719999999999999,1298.59,80000,8.27
no,small_business,no,13425,11.469999999999999,291.23,67000,15.33
no,small_business,no,16000,9.469999999999999,339.41,99097,10.95
yes,home_improvement,no,20000,12.5,585.27,60000,26.46
no,home_improvement,no,23000,11.469999999999999,487.78,85000,7.92
no,debt_consolidation,no,36000,11.969999999999999,1096.5,95543,8.16
yes,medical,no,10000,17,373.63,50000,3.62
yes,debt_consolidation,no,32000,7.5,1173.48,53500,32.72
no,credit_card,yes,10000,8.719999999999999,322.3,87600,20.01
yes,medical,no,4000,14.25,143.55,46000,12.99
no,small_business,no,36000,17.5,1160.44,105000,21.68
yes,debt_consolidation,no,30000,14.25,947.15,92000,5.86
no,debt_consolidation,yes,12000,9.219999999999999,266.88,31000,1.94
yes,medical,no,5000,16,180.92,55000,14.4
no,medical,no,10000,5.72,304.59,75000,7.04
no,debt_consolidation,no,5000,10.469999999999999,175.84,46000,23.24
no,credit_card,no,18000,8.219999999999999,400.31,44000,20.24
yes,medical,no,35000,12.25,1043.99,90000,28.33
yes,small_business,no,10000,18.25,267.12,38000,25.55
yes,small_business,no,35000,19.25,1024.23,110000,21.14
no,small_business,no,5000,6.97,161.15,28000,7.16
no,credit_card,no,26000,6.22,863.33,41000,29.07
no,medical,no,16000,8.969999999999999,381.06,115000,10.49
yes,small_business,no,21000,18,626.39,54200,35.27
yes,credit_card,yes,12000,7.5,436.55,25992,9.25
no,debt_consolidation,no,25000,6.97,608.09,80000,29.36
no,small_business,no,12175,7.97,398.08,150000,31.58
no,debt_consolidation,no,30000,6.22,599.01,160000,5.23
no,credit_card,no,40000,11.719999999999999,848.51,80000,20.84
no,small_business,no,15000,7.97,490.45,77000,11.92
no,medical,no,18000,5.97,437.92,48222,12.22
no,medical,no,35000,8.719999999999999,1197.41,130000,9.78
no,small_business,no,9600,14.5,311.62,30000,22.24
no,small_business,no,2600,18.5,83.81,35000,18.4
yes,debt_consolidation,no,25000,14.5,648.93,82000,14.18
yes,medical,no,2400,17.75,92.78,28000,16.89
yes,medical,no,30000,19.5,1137.2,85000,30.61
no,debt_consolidation,no,15000,7.47,469.77,40000,16.86
no,small_business,no,23650,8.719999999999999,712.22,70000,17.56
no,debt_consolidation,no,15000,5.47,318.12,135000,5.07
no,debt_consolidation,no,7000,7.72,219.26,50000,30.85
yes,medical,no,40000,17.5,1170.31,120700,40.46
no,home_improvement,no,28800,9.469999999999999,941.65,160000,5.96
no,debt_consolidation,yes,13000,4.72,441.73,63000,0.95
no,medical,no,20000,11.719999999999999,649.21,40000,16.77
no,credit_card,yes,25000,14,817.41,110000,10.67
no,debt_consolidation,no,16000,8.219999999999999,512.01,88000,17.84
yes,credit_card,yes,15000,19.25,550.07,55000,22.21
no,debt_consolidation,no,20000,4.72,602.3,196000,11.21
yes,medical,no,10000,17,267.12,72000,26.42
no,medical,no,5000,7.97,166.05,63000,5.31
yes,debt_consolidation,no,7000,13,258.09,57000,19.16
no,credit_card,no,13500,9.219999999999999,438.22,92000,31.61
yes,medical,no,7200,11.25,272.93,33000,27.93
yes,medical,no,40000,7,1101.35,72200,49.98
no,home_improvement,no,13000,7.97,441.67,24000,16.15
yes,credit_card,no,18000,14,491.53,45000,13.04
no,credit_card,no,15000,5.47,469.84,62000,17.42
no,small_business,no,5000,6.22,150.58,20000,32.65
no,medical,no,21600,4.72,503.5,60000,23.7
no,debt_consolidation,no,35000,7.22,1172.9,388000,8.93
yes,medical,no,12000,7.25,445.97,29000,33.77
no,small_business,no,4800,9.719999999999999,166.52,50000,32.14
no,debt_consolidation,no,40000,11.719999999999999,902.37,130000,19.18
yes,home_improvement,no,1000,15.75,40.2,32000,25.84
yes,credit_card,no,35000,15.75,1105.01,130000,29.31
no,debt_consolidation,no,28125,11.719999999999999,634.48,74000,14.39
no,small_business,no,40000,5.22,1218.15,115000,27.72
yes,credit_card,no,16000,15,574.2,15000,7.2
no,debt_consolidation,no,4500,16,149.45,50000,12.41
no,credit_card,yes,32000,6.22,1024.16,30000,62.48
yes,medical,no,14000,7.5,382.3,55000,11.3
yes,debt_consolidation,no,25000,8.25,667.79,60000,20.06
no,debt_consolidation,no,8400,6.97,278.92,100000,21.05
yes,home_improvement,no,16000,9.75,415.32,105000,17.79
no,home_improvement,no,5000,18,166.05,39000,5.23
yes,credit_card,no,16000,13.5,398.42,37000,3.7
yes,debt_consolidation,no,15700,12.5,390.95,40000,16.56
no,home_improvement,no,25000,12.5,805.75,75000,17.51
no,home_improvement,no,21000,10.969999999999999,738.51,75000,19.28
yes,debt_consolidation,no,16000,14.25,398.42,90000,16.01
no,small_business,no,16000,7.47,515.75,60000,14
yes,credit_card,no,25000,8,654.31,105000,22.7
yes,home_improvement,yes,6000,19.75,234.99,55000,25.27
yes,medical,no,10000,16.25,273.08,33000,28.62
yes,small_business,no,11200,19.5,308.38,78000,4.22
